prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR_FUSION_v1.5	5	309	66	42	0.88	0.82	0.849	0.18
TrinityFusion-C	2	241	16	110	0.69	0.94	0.796	0.0600000000000001
ChimPipe	3	227	8	124	0.65	0.97	0.778	0.03
ARRIBA_hc	5	272	77	79	0.77	0.78	0.775	0.22
TrinityFusion-UC	3	220	12	131	0.63	0.95	0.758	0.05
ARRIBA	6	274	125	77	0.78	0.69	0.732	0.31
SOAP-fuse	6	224	56	127	0.64	0.8	0.711	0.2
STARSEQR	3	311	246	40	0.89	0.56	0.687	0.44
TrinityFusion-D	2	186	24	165	0.53	0.89	0.664	0.11
PRADA	3	183	21	168	0.52	0.9	0.659	0.1
MapSplice	6	256	204	95	0.73	0.56	0.634	0.44
STARCHIP_csm10_pGm2_May012019	4	194	81	157	0.55	0.71	0.62	0.29
FUSIONCATCHER_v1.10_June192019	9	265	259	86	0.75	0.51	0.607	0.49
InFusion	8	235	202	116	0.67	0.54	0.598	0.46
TopHat-Fusion	7	248	293	103	0.71	0.46	0.558	0.54
JAFFA-Assembly	7	213	223	138	0.61	0.49	0.543	0.51
PIZZLY	5	223	303	128	0.64	0.42	0.507	0.58
JAFFA-Direct	7	221	357	130	0.63	0.38	0.474	0.62
FusionHunter	5	91	56	260	0.26	0.62	0.366	0.38
ChimeraScan	20	77	94	274	0.22	0.45	0.296	0.55
JAFFA-Hybrid	9	231	986	120	0.66	0.19	0.295	0.81
deFuse	22	166	834	185	0.47	0.17	0.25	0.83
nFuse	15	194	1243	157	0.55	0.14	0.223	0.86
EricScript	62	72	550	279	0.21	0.12	0.153	0.88
