prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR_FUSION_v1.5	2	56	5	14	0.8	0.92	0.856	0.08
STARSEQR	2	54	11	16	0.77	0.83	0.799	0.17
ChimPipe	3	45	0	25	0.64	1	0.78	0
SOAP-fuse	2	44	3	26	0.63	0.94	0.754	0.0600000000000001
ARRIBA_hc	2	47	12	23	0.67	0.8	0.729	0.2
ARRIBA	2	60	45	10	0.86	0.57	0.686	0.43
PRADA	4	35	0	35	0.5	1	0.667	0
FUSIONCATCHER_v1.10_June192019	3	38	13	32	0.54	0.75	0.628	0.25
FusionHunter	3	29	1	41	0.41	0.97	0.576	0.03
JAFFA-Hybrid	2	28	5	42	0.4	0.85	0.544	0.15
JAFFA-Assembly	2	28	5	42	0.4	0.85	0.544	0.15
STARCHIP_csm10_pGm2_May012019	3	27	4	43	0.39	0.87	0.539	0.13
TrinityFusion-UC	2	24	0	46	0.34	1	0.507	0
MapSplice	8	28	14	42	0.4	0.67	0.501	0.33
TrinityFusion-C	2	23	0	47	0.33	1	0.496	0
PIZZLY	5	35	38	35	0.5	0.48	0.49	0.52
InFusion	5	36	45	34	0.51	0.44	0.472	0.56
deFuse	7	30	30	40	0.43	0.5	0.462	0.5
TopHat-Fusion	8	29	51	41	0.41	0.36	0.383	0.64
nFuse	23	21	26	49	0.3	0.45	0.36	0.55
EricScript	7	28	63	42	0.4	0.31	0.349	0.69
ChimeraScan	6	30	72	40	0.43	0.29	0.346	0.71
TrinityFusion-D	4	14	1	56	0.2	0.93	0.329	0.07
