ARRIBA	0.83
PIZZLY	0.82
STARSEQR	0.75
STAR_FUSION_v1.5	0.75
nFuse	0.75
ChimeraScan	0.72
deFuse	0.72
ChimPipe	0.71
SOAP-fuse	0.71
InFusion	0.70
FUSIONCATCHER_v1.10_June192019	0.68
ARRIBA_hc	0.67
PRADA	0.66
TopHat-Fusion	0.64
MapSplice	0.63
STARCHIP_csm10_pGm2_May012019	0.63
EricScript	0.56
FusionHunter	0.56
TrinityFusion-C	0.54
TrinityFusion-UC	0.53
JAFFA-Assembly	0.51
TrinityFusion-D	0.37
ARRIBA	0.86
PIZZLY	0.84
STAR_FUSION_v1.5	0.80
nFuse	0.80
STARSEQR	0.78
InFusion	0.77
ChimPipe	0.76
SOAP-fuse	0.76
deFuse	0.75
ChimeraScan	0.74
ARRIBA_hc	0.69
FUSIONCATCHER_v1.10_June192019	0.68
PRADA	0.67
TopHat-Fusion	0.66
MapSplice	0.64
STARCHIP_csm10_pGm2_May012019	0.64
EricScript	0.61
FusionHunter	0.61
TrinityFusion-UC	0.57
TrinityFusion-C	0.56
JAFFA-Assembly	0.48
TrinityFusion-D	0.37
ARRIBA	0.84
PIZZLY	0.82
STARSEQR	0.80
STAR_FUSION_v1.5	0.79
SOAP-fuse	0.75
InFusion	0.73
ChimPipe	0.72
nFuse	0.71
ChimeraScan	0.70
FUSIONCATCHER_v1.10_June192019	0.68
TopHat-Fusion	0.68
deFuse	0.67
ARRIBA_hc	0.66
STARCHIP_csm10_pGm2_May012019	0.65
MapSplice	0.64
PRADA	0.64
EricScript	0.59
TrinityFusion-C	0.59
TrinityFusion-UC	0.58
FusionHunter	0.55
JAFFA-Assembly	0.53
TrinityFusion-D	0.35
PIZZLY	0.84
ARRIBA	0.83
STARSEQR	0.76
nFuse	0.76
STAR_FUSION_v1.5	0.75
InFusion	0.72
ChimPipe	0.71
ChimeraScan	0.71
SOAP-fuse	0.71
deFuse	0.71
PRADA	0.68
ARRIBA_hc	0.67
FUSIONCATCHER_v1.10_June192019	0.66
TopHat-Fusion	0.65
MapSplice	0.64
STARCHIP_csm10_pGm2_May012019	0.62
EricScript	0.57
TrinityFusion-C	0.54
FusionHunter	0.53
TrinityFusion-UC	0.53
JAFFA-Assembly	0.46
TrinityFusion-D	0.34
ARRIBA	0.89
PIZZLY	0.88
SOAP-fuse	0.82
nFuse	0.82
STARSEQR	0.81
STAR_FUSION_v1.5	0.81
deFuse	0.81
ChimPipe	0.79
InFusion	0.78
ChimeraScan	0.76
PRADA	0.75
FUSIONCATCHER_v1.10_June192019	0.73
ARRIBA_hc	0.72
TopHat-Fusion	0.69
MapSplice	0.67
STARCHIP_csm10_pGm2_May012019	0.67
FusionHunter	0.65
EricScript	0.60
TrinityFusion-C	0.58
JAFFA-Assembly	0.56
TrinityFusion-UC	0.56
TrinityFusion-D	0.39
