sim1_reads	AADAT--VMP1	3.36
sim1_reads	ABCG1--GPSM3	97.71
sim1_reads	AC011530.4--IL4	36.24
sim1_reads	AC011997.1--SFMBT2	338.47
sim1_reads	AC024580.1--DDX3Y	343.93
sim1_reads	AC099552.4--SUPT3H	0.89
sim1_reads	ACAP1--CRYBB3	779.42
sim1_reads	ACSL1--CAMSAP2	8.78
sim1_reads	ACSL6--KCNA7	4.42
sim1_reads	ACTN3--PBX3	750.20
sim1_reads	ACTR6--NME9	3.76
sim1_reads	ADAMTS3--GABRR3	38.42
sim1_reads	ADGB--ZNF230	27.25
sim1_reads	ADM5--ARL6IP1	431.35
sim1_reads	AGAP2--RNF150	37.85
sim1_reads	AGPS--SUPT7L	137.49
sim1_reads	AKR1C1--C6orf222	1.23
sim1_reads	AKR1E2--DHX35	10.33
sim1_reads	AKT1S1--VPREB3	27.35
sim1_reads	AL356356.1--KAT8	5.92
sim1_reads	ALKBH4--TMTC4	33.80
sim1_reads	ALPP--SGCG	809.19
sim1_reads	AMN--EDIL3	13.31
sim1_reads	AMOT--CTRB1	54.15
sim1_reads	AMY1C--APOA5	8.88
sim1_reads	ANK1--DSG2	350.17
sim1_reads	ANKRD2--CDC34	420.84
sim1_reads	ANO5--BMP6	108.93
sim1_reads	AOC2--CHKA	49.39
sim1_reads	AP003068.23--NEDD1	260.44
sim1_reads	AP1B1--ERI3	632.99
sim1_reads	AP5M1--UGT1A4	168.73
sim1_reads	APCDD1L--ERGIC2	3.25
sim1_reads	APOOL--IGSF3	9.76
sim1_reads	AQP10--COBLL1	9.01
sim1_reads	ARHGAP28--ESPL1	2.34
sim1_reads	ARHGDIG--SLC5A8	6.55
sim1_reads	ARHGEF28--B3GNT4	281.38
sim1_reads	ARID3C--GCH1	289.15
sim1_reads	ARL5C--PXDNL	0.61
sim1_reads	ARV1--EGR4	53.57
sim1_reads	ASAH2--NR2E1	4.26
sim1_reads	ASB14--CEP57	47.16
sim1_reads	ASTN1--DCTN6	115.20
sim1_reads	ATP13A4--CAMLG	1.12
sim1_reads	ATP5B--PIK3CB	10.00
sim1_reads	ATP6V0E1--ZSCAN1	3.03
sim1_reads	ATP6V0E2--PAM	643.76
sim1_reads	ATP6V1A--GPR123	7.70
sim1_reads	ATP8A1--ERI1	51.81
sim1_reads	AVPR1A--ERMN	38.89
sim1_reads	AVPR2--TST	3.23
sim1_reads	B4GALNT4--CCNH	649.04
sim1_reads	B4GALT1--USF2	71.74
sim1_reads	BARX2--LCE1D	541.99
sim1_reads	BCL2--MS4A2	1.60
sim1_reads	BCO2--NT5C1A	2.26
sim1_reads	BMPR2--GAL3ST2	27.99
sim1_reads	BNC2--FTCD	278.04
sim1_reads	BPIFA1--PMVK	2.15
sim1_reads	BUB3--PTOV1	100.96
sim1_reads	C11orf94--PDPN	16.52
sim1_reads	C12orf55--TMEM198	61.78
sim1_reads	C16orf72--RGS1	3.34
sim1_reads	C17orf51--TIFA	4.35
sim1_reads	C17orf98--MCM10	2.03
sim1_reads	C19orf43--HEPHL1	8.34
sim1_reads	C1orf200--ZNF512B	5.96
sim1_reads	C1orf234--CNPY2	6.74
sim1_reads	C20orf62--CLDN4	18.35
sim1_reads	C22orf43--PPP1R35	2.24
sim1_reads	C2orf44--USP39	21.46
sim1_reads	C4orf27--PPP1R3C	2.94
sim1_reads	C9orf40--UNC79	1.14
sim1_reads	C9orf72--XCL1	4.26
sim1_reads	CABLES1--SPINK13	373.37
sim1_reads	CAMSAP1--USP14	8.09
sim1_reads	CAPZB--DHX32	36.27
sim1_reads	CASD1--LRIG3	47.78
sim1_reads	CASP9--GRIN2D	104.98
sim1_reads	CBLN1--PCDHA13	8.56
sim1_reads	CCDC103--SBNO2	78.25
sim1_reads	CCDC169--PSMG3	27.09
sim1_reads	CCDC27--CHST11	534.52
sim1_reads	CCL18--HEPACAM2	2.17
sim1_reads	CCL4L1--ZBTB18	130.04
sim1_reads	CCSER1--ZPBP	36.44
sim1_reads	CCT3--C17orf112	1.66
sim1_reads	CD244--GPR155	7.93
sim1_reads	CDK7--CCR8	192.04
sim1_reads	CFB--FKTN	31.74
sim1_reads	CFC1--VSNL1	1.28
sim1_reads	CGB2--NHEJ1	1.17
sim1_reads	CGB5--PLD5	15.83
sim1_reads	CHDH--CDH18	6.43
sim1_reads	CHRNA10--OGT	45.52
sim1_reads	CHST7--SCGB1D2	69.38
sim1_reads	CLASP1--TOR4A	1.77
sim1_reads	CLCN1--SNX3	8.00
sim1_reads	CLEC1A--MGAT3	1.87
sim1_reads	CNDP2--HSD3B7	29.22
sim1_reads	CNTNAP2--MAT2A	57.56
sim1_reads	COLEC10--RHAG	697.78
sim1_reads	COPS4--DEFB113	43.54
sim1_reads	COTL1--SRCAP	18.49
sim1_reads	CPA2--RPS4Y2	32.50
sim1_reads	CPS1--TMEM134	109.91
sim1_reads	CSF2RA--KCNG3	5.54
sim1_reads	CSNK2B--MMP2	614.10
sim1_reads	CST11--DCAF4	9.99
sim1_reads	CST9L--CXCR3	3.47
sim1_reads	CST9--ZNF771	16.03
sim1_reads	CTF1--MUC16	186.40
sim1_reads	CTSK--AP3M1	0.98
sim1_reads	CTSL--NIM1	120.95
sim1_reads	CTSO--FAM65A	1.96
sim1_reads	CTSW--C6orf136	9.05
sim1_reads	CWC22--CAPS	0.83
sim1_reads	CWC27--RP1L1	646.43
sim1_reads	CYBB--ZBTB12	97.42
sim1_reads	DCN--RTEL1	28.78
sim1_reads	DCUN1D2--CISD3	278.10
sim1_reads	DCUN1D3--RIMS1	115.40
sim1_reads	DDHD1--PIGB	62.34
sim1_reads	DDX59--ZC2HC1C	1.61
sim1_reads	DHCR24--SPAG11B	0.65
sim1_reads	DHPS--RAB1B	12.58
sim1_reads	DHX57--HRNR	150.31
sim1_reads	DKK1--C1orf220	3.71
sim1_reads	DLG4--B3GALTL	128.41
sim1_reads	DLX4--NHP2	12.26
sim1_reads	DNALI1--SLC2A4	15.18
sim1_reads	DNM1--RAB10	1.74
sim1_reads	DOPEY1--CD86	2.05
sim1_reads	DSP--SSR1	610.86
sim1_reads	DTD1--CARS2	10.06
sim1_reads	DTHD1--ZC3H12A	734.11
sim1_reads	DUSP19--SIK2	197.71
sim1_reads	DYNC2LI1--AL590708.2	275.63
sim1_reads	EAF2--GHSR	430.45
sim1_reads	EDNRB--LY6G6F	55.60
sim1_reads	EFCAB3--CHTF18	745.17
sim1_reads	EFHD1--AAK1	583.86
sim1_reads	EFNA1--OSER1	254.11
sim1_reads	EFNB3--ATP2A3	1.58
sim1_reads	EHD3--TLCD1	8.14
sim1_reads	EIF2AK1--EFS	23.83
sim1_reads	EIF2AK3--RAP1GAP	21.43
sim1_reads	EIF4EBP3--DUS3L	194.03
